,ds,y
675,2020-04-17 03:00:00,8
676,2020-04-17 04:00:00,13
677,2020-04-17 05:00:00,28
678,2020-04-17 06:00:00,48
679,2020-04-17 07:00:00,63
680,2020-04-17 08:00:00,73
681,2020-04-17 09:00:00,97
682,2020-04-17 10:00:00,103
683,2020-04-17 11:00:00,125
684,2020-04-17 12:00:00,113
685,2020-04-17 13:00:00,164
686,2020-04-17 14:00:00,149
687,2020-04-17 15:00:00,161
688,2020-04-17 16:00:00,153
689,2020-04-17 17:00:00,140
690,2020-04-17 18:00:00,85
691,2020-04-17 19:00:00,75
692,2020-04-17 20:00:00,76
693,2020-04-17 21:00:00,57
694,2020-04-17 22:00:00,40
695,2020-04-17 23:00:00,39
696,2020-04-18 00:00:00,31
697,2020-04-18 01:00:00,13
698,2020-04-18 02:00:00,11
699,2020-04-18 03:00:00,14
700,2020-04-18 04:00:00,17
701,2020-04-18 05:00:00,15
702,2020-04-18 06:00:00,27
703,2020-04-18 07:00:00,34
704,2020-04-18 08:00:00,70
705,2020-04-18 09:00:00,68
706,2020-04-18 10:00:00,98
707,2020-04-18 11:00:00,111
708,2020-04-18 12:00:00,109
709,2020-04-18 13:00:00,105
710,2020-04-18 14:00:00,113
711,2020-04-18 15:00:00,107
712,2020-04-18 16:00:00,129
713,2020-04-18 17:00:00,83
714,2020-04-18 18:00:00,82
715,2020-04-18 19:00:00,60
716,2020-04-18 20:00:00,47
717,2020-04-18 21:00:00,51
718,2020-04-18 22:00:00,43
719,2020-04-18 23:00:00,41
720,2020-04-19 00:00:00,20
721,2020-04-19 01:00:00,10
722,2020-04-19 02:00:00,6
723,2020-04-19 03:00:00,6
724,2020-04-19 04:00:00,7
725,2020-04-19 05:00:00,14
726,2020-04-19 06:00:00,20
727,2020-04-19 07:00:00,41
728,2020-04-19 08:00:00,39
729,2020-04-19 09:00:00,49
730,2020-04-19 10:00:00,60
731,2020-04-19 11:00:00,72
732,2020-04-19 12:00:00,72
733,2020-04-19 13:00:00,77
734,2020-04-19 14:00:00,80
735,2020-04-19 15:00:00,67
736,2020-04-19 16:00:00,70
737,2020-04-19 17:00:00,69
738,2020-04-19 18:00:00,54
739,2020-04-19 19:00:00,60
740,2020-04-19 20:00:00,43
741,2020-04-19 21:00:00,42
742,2020-04-19 22:00:00,36
743,2020-04-19 23:00:00,37
744,2020-04-20 00:00:00,23
745,2020-04-20 01:00:00,10
746,2020-04-20 02:00:00,10
747,2020-04-20 03:00:00,10
748,2020-04-20 04:00:00,19
749,2020-04-20 05:00:00,27
750,2020-04-20 06:00:00,51
751,2020-04-20 07:00:00,70
752,2020-04-20 08:00:00,68
753,2020-04-20 09:00:00,92
754,2020-04-20 10:00:00,117
755,2020-04-20 11:00:00,130
756,2020-04-20 12:00:00,140
757,2020-04-20 13:00:00,135
758,2020-04-20 14:00:00,130
759,2020-04-20 15:00:00,125
760,2020-04-20 16:00:00,115
761,2020-04-20 17:00:00,165
762,2020-04-20 18:00:00,90
763,2020-04-20 19:00:00,65
764,2020-04-20 20:00:00,55
765,2020-04-20 21:00:00,35
766,2020-04-20 22:00:00,39
767,2020-04-20 23:00:00,37
768,2020-04-21 00:00:00,24
769,2020-04-21 01:00:00,12
770,2020-04-21 02:00:00,20
771,2020-04-21 03:00:00,12
772,2020-04-21 04:00:00,15
773,2020-04-21 05:00:00,29
774,2020-04-21 06:00:00,38
775,2020-04-21 07:00:00,68
776,2020-04-21 08:00:00,93
777,2020-04-21 09:00:00,108
778,2020-04-21 10:00:00,105
779,2020-04-21 11:00:00,136
780,2020-04-21 12:00:00,129
781,2020-04-21 13:00:00,115
782,2020-04-21 14:00:00,135
783,2020-04-21 15:00:00,139
784,2020-04-21 16:00:00,139
785,2020-04-21 17:00:00,127
786,2020-04-21 18:00:00,111
787,2020-04-21 19:00:00,89
788,2020-04-21 20:00:00,59
789,2020-04-21 21:00:00,47
790,2020-04-21 22:00:00,48
791,2020-04-21 23:00:00,33
792,2020-04-22 00:00:00,24
793,2020-04-22 01:00:00,10
794,2020-04-22 02:00:00,8
795,2020-04-22 03:00:00,13
796,2020-04-22 04:00:00,26
797,2020-04-22 05:00:00,27
798,2020-04-22 06:00:00,50
799,2020-04-22 07:00:00,74
800,2020-04-22 08:00:00,107
801,2020-04-22 09:00:00,94
802,2020-04-22 10:00:00,132
803,2020-04-22 11:00:00,133
804,2020-04-22 12:00:00,134
805,2020-04-22 13:00:00,136
806,2020-04-22 14:00:00,140
807,2020-04-22 15:00:00,159
808,2020-04-22 16:00:00,139
809,2020-04-22 17:00:00,138
810,2020-04-22 18:00:00,83
811,2020-04-22 19:00:00,69
812,2020-04-22 20:00:00,50
813,2020-04-22 21:00:00,47
814,2020-04-22 22:00:00,50
815,2020-04-22 23:00:00,33
816,2020-04-23 00:00:00,33
817,2020-04-23 01:00:00,21
818,2020-04-23 02:00:00,11
819,2020-04-23 03:00:00,10
820,2020-04-23 04:00:00,17
